unit_short,subject_ID,sex,age,years_of_education,group,country,unit,subject_ID of the matched participant,wais3,wais4,waisvocabulary,raven,digit_span,spatial_span,melody_span,nback,PROMSMELODYSCORE,PROMSTUNINGSCORE,PROMSBEATSCORE,PROMSSPEEDSCORE,PROMSTOTALSCORE,PROMSTOTALSCORENOMELODY,eBMRQ_MusicSeeking,eBMRQ_EmotionEvocation,eBMRQ_MoodRegulation,eBMRQ_SensoryMotor,eBMRQ_SocialReward,eBMRQ_MusicalAbsorption,eBMRQ_TOT,BMRQ_TOT,gold_msi_active_engagement,gold_msi_perceptual_abilities,gold_msi_musical_training,gold_msi_emotions,gold_msi_singing_abilities,gold_msi_general_sophistication,bfi_extraversion,bfi_agreeableness,bfi_conscientiousness,bfi_negative_emotionality,bfi_open_mindedness,ses_nuclear_family,AddMusicTraining[years],lastMusicActivity[years],training[years],MT05,melody_span_score,to_keep
AR_BuenosAires,1m21c29,female,29,18,musician,Argentina,Palermo University - Centro de Investigación en Neurociencia y Neuropsicología,1n3g29,NA,40,0.7017543859649122,19,10,7.5,28,13,7.5,3.5,6.5,7,24.5,17,15,20,20,20,20,20,115,95,50,58,43,41,43,112,45,52,49,31,55,8,NA,NA,13,10 or more,block12,TRUE
AR_BuenosAires,2m20j21,female,21,16,musician,Argentina,Palermo University - Centro de Investigación en Neurociencia y Neuropsicología,2n8l22,NA,47,0.8245614035087719,19,8.5,7,31,23,5,4,2.5,2.5,14,9,14,18,18,20,17,16,103,87,39,48,32,35,34,83,38,52,33,38,56,64.5,NA,NA,11,10 or more,block12,TRUE
AR_BuenosAires,3m7g23,male,23,16,musician,Argentina,Palermo University - Centro de Investigación en Neurociencia y Neuropsicología,3n29n24,NA,42,0.7368421052631579,22,10,10.5,40.5,16,9,5,8,7,29,20,19,17,20,17,19,18,110,92,55,61,48,39,49,121,45,59,53,21,51,22,NA,NA,12,10 or more,block12,TRUE
AR_BuenosAires,4m3c30,female,30,15,musician,Argentina,Palermo University - Centro de Investigación en Neurociencia y Neuropsicología,4n26g29,NA,33,0.5789473684210527,21,10,8.5,32.5,23,6.5,5,6,4,21.5,15,11,20,20,15,18,17,101,84,34,57,39,41,44,106,48,49,51,28,50,20.5,NA,NA,10,3-5,block12,FALSE
AR_BuenosAires,5m23l26,male,26,17,musician,Argentina,Palermo University - Centro de Investigación en Neurociencia y Neuropsicología,5n22L26,NA,43,0.7543859649122807,11,10.5,3.5,29,21,6.5,6,6,6,24.5,18,17,20,19,16,18,18,108,90,54,55,43,42,39,111,33,46,51,29,55,38,NA,NA,12,10 or more,block12,TRUE
AR_BuenosAires,6m6m26,male,26,15,musician,Argentina,Palermo University - Centro de Investigación en Neurociencia y Neuropsicología,6n26e26,NA,38,0.6666666666666666,17,6.5,8.5,23.5,21,6,7,7,5,25,19,17,17,17,12,19,19,101,82,52,55,41,37,44,113,39,49,27,22,57,50,NA,NA,14,6-9,block12,FALSE
AR_BuenosAires,7m14l26,male,26,15,musician,Argentina,Palermo University - Centro de Investigación en Neurociencia y Neuropsicología,7n4l25,NA,44,0.7719298245614035,22,8,11.5,18.5,22,7.5,5,5,5.5,23,15.5,17,18,18,20,19,16,108,92,57,59,49,38,38,116,40,50,30,27,36,47,NA,NA,18,10 or more,block12,TRUE
AR_BuenosAires,8m24j30,female,30,18,musician,Argentina,Palermo University - Centro de Investigación en Neurociencia y Neuropsicología,8n29o30,NA,41,0.7192982456140351,25,8.5,7.5,29.5,27,7.5,3.5,6.5,7,24.5,17,8,20,17,19,18,14,96,82,32,51,42,35,36,93,34,49,18,49,54,63,NA,NA,12,6-9,block12,FALSE
AR_BuenosAires,9m16l21,female,21,13,musician,Argentina,Palermo University - Centro de Investigación en Neurociencia y Neuropsicología,9n12m20,NA,45,0.7894736842105263,9,12,7,22.5,22,5.5,7,5.5,6,24,18.5,17,20,16,20,20,18,111,93,54,57,42,40,39,110,50,50,45,42,55,30,NA,NA,17,10 or more,block12,TRUE
AR_BuenosAires,10m25r24,female,24,14,musician,Argentina,Palermo University - Centro de Investigación en Neurociencia y Neuropsicología,10n5a23,NA,35,0.6140350877192983,21,7,8,19.5,16,8,4,5,6,23,15,15,18,16,20,16,18,103,85,54,57,47,38,41,111,43,44,38,42,51,31,NA,NA,15,10 or more,block12,TRUE
AR_BuenosAires,11m15c22,female,22,15,musician,Argentina,Palermo University - Centro de Investigación en Neurociencia y Neuropsicología,NA,NA,42,0.7368421052631579,20,9.5,8.5,NA,12,7,5.5,5,6,23.5,16.5,12,20,20,16,19,14,101,87,48,58,42,31,38,101,40,50,43,37,57,47.5,NA,NA,16,10 or more,NA,TRUE
AR_BuenosAires,12m23l22,female,22,16,musician,Argentina,Palermo University - Centro de Investigación en Neurociencia y Neuropsicología,12n10Z22,NA,46,0.8070175438596491,26,11.5,8,29,20,7,5,5.5,5.5,23,16,17,12,14,18,19,7,87,80,51,62,40,30,42,107,40,47,36,39,44,63,NA,NA,10,10 or more,block12,TRUE
AR_BuenosAires,13m22a26,female,26,13,musician,Argentina,Palermo University - Centro de Investigación en Neurociencia y Neuropsicología,13n30c27,NA,38,0.6666666666666666,9,9.5,6.5,30.5,-13,6,3.5,4,7,20.5,14.5,20,20,20,20,20,20,120,100,49,52,43,37,38,106,54,51,40,33,55,20,NA,NA,10,10 or more,block12,TRUE
AR_BuenosAires,14m8a22,female,22,16,musician,Argentina,Palermo University - Centro de Investigación en Neurociencia y Neuropsicología,14n22m22,NA,45,0.7894736842105263,18,9.5,7.5,24.5,27,7,7.5,9,7.5,31,24,17,19,20,19,20,19,114,95,52,58,43,41,49,119,47,47,35,19,58,53,NA,NA,12,10 or more,block12,TRUE
AR_BuenosAires,15m30j27,male,27,18,musician,Argentina,Palermo University - Centro de Investigación en Neurociencia y Neuropsicología,15n14l27,NA,38,0.6666666666666666,7,12,7.5,30,14,7.5,5.5,8.5,8,29.5,22,14,19,18,17,16,18,102,84,45,57,35,39,41,101,39,42,43,35,51,63,NA,NA,17,3-5,block12,FALSE
AR_BuenosAires,16m9c25,female,25,16,musician,Argentina,Palermo University - Centro de Investigación en Neurociencia y Neuropsicología,16n16m24,NA,35,0.6140350877192983,15,6,8.5,17,16,5,5,4.5,4.5,19,14,16,20,20,20,19,17,112,95,50,58,41,42,36,107,53,42,33,46,59,32,NA,NA,11,3-5,block12,FALSE
AR_BuenosAires,17m18m27,male,27,15,musician,Argentina,Palermo University - Centro de Investigación en Neurociencia y Neuropsicología,17n16d28,NA,38,0.6666666666666666,17,9.5,9,19.5,17,5.5,5,4.5,7,22,16.5,19,19,19,14,18,12,101,89,56,49,42,30,37,109,35,45,29,34,52,23,NA,NA,10,6-9,block12,FALSE
AR_BuenosAires,18m17n30,male,30,18,musician,Argentina,Palermo University - Centro de Investigación en Neurociencia y Neuropsicología,18n19n30,NA,40,0.7017543859649122,23,11,10,24.5,26,8.5,4.5,5.5,7,25.5,17,13,18,16,18,18,16,99,83,50,52,38,34,31,98,37,50,33,29,55,19,NA,NA,10,6-9,block12,FALSE
AR_BuenosAires,19m28m19,male,19,13,musician,Argentina,Palermo University - Centro de Investigación en Neurociencia y Neuropsicología,19n5d18,NA,36,0.631578947368421,7,7.5,8.5,22.5,15,8.5,8,6,6.5,29,20.5,19,20,18,20,18,9,104,95,56,56,42,41,41,115,56,45,51,24,49,35,NA,NA,10,10 or more,block12,TRUE
AR_BuenosAires,20m8i24,male,24,17,musician,Argentina,Palermo University - Centro de Investigación en Neurociencia y Neuropsicología,20n2s23,NA,39,0.6842105263157895,17,11.5,14,27.5,13,8.5,5,5.5,8,27,18.5,18,20,15,19,14,14,100,86,47,53,42,30,44,105,38,33,32,40,54,66,NA,NA,14,10 or more,block12,TRUE
